Date,Owner,Title,FU Reply
2017-12-11 12:26:00,jasjus.kriptoss,"Ustadz Abdul Somad Diusir dari Bali, Warga Riau di Bali Marah Besar",Riau sarang nasbung
2017-12-11 12:22:00,president.trump,"Konvoi Pengantar Jenazah Memang Prioritas, tapi Jangan Arogan",Koplak cem nasbung dimari
2017-12-11 11:59:00,setiapmenit,"Demo Kedubes AS, Jawara Aksi Pencak Silat hingga Bakar Foto Trump",Koplak
2017-12-11 09:14:00,gabener212,Presiden PKS: Kami Akan Boikot Produk Amerika Serikat,"ane udh dari dlu boikot produk mamarika kya KFC,PH, McD :ngakaks Lo gak usah ngaskus sekalian tong"
2017-12-11 09:08:00,allohsakmaidik,Duh… Oknum Guru Ngaji di Tulang Bawang Cabuli Anak di Bawah Umur,Cabul boleh asalkan seiman
2017-12-09 11:25:00,wiraprasta333,"Jika Jokowi Tak Bertindak, KAMMI Siap Kepung Kedubes AS di Jakarta",Asik dapet orderan demo lagi
2017-12-09 10:46:00,moderatorccd,"Istri Dihina Artis Porno, Chico Hakim Ciduk Alumni 212 Ini!!",Modaro cok
2017-12-08 14:35:00,metrotvnews.com,Sepanjang 2017 Kekerasan Perempuan di Jakarta Menurun,"Kekerasan terhadap perempuan menurun, tapi intoleransi bertambah. Awas ntar lo modyar bangke lo gak disholatin"
2017-12-07 19:52:00,tukangkomen123,Gubernur Aher Minta Warga Jangan Tolak Imunisasi Difteri,Imunisasi itu haram kata panasbung
2017-12-07 19:46:00,acabindonesia,"""Saya Enggak Setuju Edaran Itu, Di Mana Toleransi Antarwarga?""",Nasbung bodoh
2017-12-07 08:37:00,berlian.co.id,Titiek Soeharto : Emang Nyatanya Enakan Zaman Orde Baru Kan?,Enak gundulmu
2017-12-06 15:03:00,2periode,"Anies Usul Ada Mushala di Halte, Halte Glodok Sudah Ada, Lainnya Menyusul",hanya nastaik kafir yg kelojotan... hahaha... bodoh
2017-12-06 14:57:00,gadis.anal.sex,"Dianggap Tak Sopan, Patung Balet di Surabaya Ditutupi Kain",Panasbung ereksi
2017-12-06 14:43:00,nevertalk,Tangis dan Permohonan Maaf Bos First Travel di Rapat Kreditur,Boleh menipu asalkan seiman Dimaafkan aja
2017-12-05 18:02:00,moderatorccd,"Demi Kaki-5, Anies Tengah Mengkaji Menutup Jalan di Tanah Abang",Kalo perlu jl sudirman buat kaki lima
2017-12-03 18:22:00,incaranwanita,Foto: Penampakan Super Sandi Sedang Olahraga di Minggu Pagi,Iklan justice league ini bego!
2017-11-30 09:32:00,ranttalker,"Cuitan Sandiaga Uno tentang Bondan Winarno Dikritik Warganet, Ada Apa Ya?",Netizen kntl
2017-11-22 07:11:00,soldkeaku,Massa Akan Kembali Gelar Aksi 212!,"Lulusnya kapan, kampusnya dimana, tau2 jadi alumni"
2017-11-17 09:03:00,putra.mahkotak,KPK Dikabarkan Akan Tangkap Wartawan Yang Semobil Bersama Setya Novanto Saat Kecelaka,Tiang listrik paok
2017-11-14 15:58:00,aslan.meaglo,Detik-detik Makan Malam Berujung Penelanjangan Sejoli di Tangerang,Radikal paok
2017-10-14 07:48:00,hasrat.nabi,Minyak goreng dari ulat mahasiswa Malang siap ke Eropa -mengapa ditanya halal-haram?,"dasar mahasiswa buat kegaduhan aja, udahlah gak usah buat yg aneh2 ujung2nya cuma menimbulkan pro dan kontra bagi masyarakat daripada sibuk dgn hal duniawi seperti itu mending ibadah yg rajin, inget akhirat... jgn urusan dunia terus yg dikejar Oh gitu ya"
2017-10-13 09:00:00,soldkeaku,Kasus Jonru Sebentar Lagi Naik ke Tahap Penuntutan!,Kasihan Lo temenin aja di penjara kalo kasihan
2017-10-13 08:36:00,becakmini.v7,"MUI: Kalau Ada yang Bilang Vaksin MR Halal, Itu Bohong!",bodoh tenan
2017-10-10 18:20:00,bowobutoijo,Istri Jonru Diperiksa Polisi,Pake tas LV cok
2017-10-09 08:35:00,arbib,Seribu Lebih Wanita Cantik Menari Gandrung di Pantai Banyuwangi,Kalo kata nasbung ini pengikisan akidah
2017-10-08 16:12:00,kimpet.sekeco,"Prediksi Jokowi Tepat, Bandara Trunojoyo Ramai Peminat",Nasbung biasa jalan kaki
2017-10-08 15:01:00,eggy.sujana,"Lihat Menu Sarapan Prabowo, Warganet Ungkit Hal Menyakitkan, Mulai soal Ditinggal...","https://s.kaskus.id/images/2017/10/08/1248035_20171008011404.jpg Iya duda ""terhormat"" Pas pilpres pura2 rujuk Hbs itu kalah gak jadi rujuk Terhormat gundulmu peyang"
2017-10-06 08:44:00,eggy.sujana,"Elit Banyak Bohongnya, Wajar Prabowo Pilih Bergaul dan Dekat dengan Rakyat",iya ya mungkin anaknya aktif di Lingkungan karang taruna kampung bray? Anaknya wowo kan di paris
2017-10-05 21:22:00,InRealLife,Hoaks Jadi Salah Satu Penyebab Rendahnya Imunisasi MR di Depok,bodoh emang
2017-10-05 20:54:00,putra.mahkotak,Eggi Sudjana Dilaporkan ke Bareskrim Terkait Ujaran Kebencian,Mampus lo
2017-10-05 17:37:00,anti.suap,Polwan cantik yang bertugas di pernikahan kahiyang,bisa gitu ya? anggota polri diatur sama sipil. baru tau ane :travel bodoh. Di situ kan ada pakor polwan Gibran kapasitasnya sebagai pemilik gedung Ya wajar lah koordinasi kan udah mendekati hari H
2017-10-05 12:10:00,karikai04,Jonru Ginting Di Mata Tetangga Dikenal Tertutup dan Pendiam,Mampus lo jon
2017-10-02 17:16:00,moderatorccd,Postingan akun Rijal Ahmad Sediakan Uang 40 Miliar Bagi yang Bisa Habisi Presiden,"lanjutkan ... ga dibayar pun pada mau kok, karena udah pada muak Ntar diciduk nangis lho"
2017-10-02 08:40:00,karikai04,"Amien Rais: Yang Kami Lawan Bukan Jokowi dan Ahok, Tapi...",Sengkuni idola nasbung
2017-10-02 08:37:00,namima,"Jonru Ginting Letih, Pemeriksaan Tambahan Ditangguhkan",Ssssaaayaaa tidak letih
2017-10-02 08:35:00,miextophia,"Terpancing Hoaks, Netizen Komentar Nyinyir terhadap Kapolri",Nasbung bodoh
2017-10-02 08:28:00,nyakbertutur,Ini Penjelasan Hebohnya Miss Grand International Malaysia Soal Kuda Lumping,Kalo nasbung di sini demen budaya onta
2017-09-29 10:19:00,kencingin.pohon,Polisi Tahan Jonru Ginting,Modaro cok
2017-09-29 10:15:00,muhammad..tohir,Delapan Hal yang Tak Boleh Dilakukan Perempuan Arab Saudi,tapi efeknya pemerkosaan jadi menurun dan tidak kriminal kepada wanita juga gak ada ini penting semoga diindonesia bisa menerapkan yang sama jangan cuma mikirkan dunia tapi juga akherat Gundulmu peyang cuk
2017-09-28 08:29:00,stealth.mode,5000 Personel Brimob Diterjunkan untuk Amankan Demo 299 Besok,"5rb brimob, 5rb senjata ilegal!! Bahaya ini!! Mak lo ilegal"
2017-09-25 12:11:00,atandi,Polisi Tangkap Pemilik Situs Nikahsirri.com Aris Wahyudi,Gw yakin byk org2 sumbu pedek pada daftar di sini
2017-09-20 10:17:00,stealth.mode,Inilah Empat Model Kemitraan 212 Mart,Koplak mart
2017-09-20 10:16:00,nubi.genit,Serunya Mbah Jokowi Main Pedang-pedangan dan Mandikan Cucu,"Mudah""an om wowo bisa cepet punya cucu biar merasakan kebahagiaan kayak pakde wiwi :) Tapi anaknya homo"
2017-09-19 09:18:00,kafir.as.leader,Ketua DPRD Lebong Jambi Menampar Dokter di Rumah Sakit,Dari partai apa?
2017-09-19 09:11:00,ferina.,"Prabowo: Bukan Tak Solider ke Rohingya, Rakyat Kita Masih Susah",Mbulet wae. Asu tenan
2017-09-17 19:47:00,wahyu715,"Disinggung Jadi Menteri, AHY: Jabatan Penting Tapi Bukan Segalanya",No FU Reply
2017-09-17 10:12:00,mahkotax.maneh,"Girang ajak cucu ke mal, Jokowi bilang saya kan juga manusia biasa ",Kasihan capres yg anaknya fashion designer homo
2017-09-14 17:20:00,rhaimukui,Fahira Idris: Asma Dewi Tak Mungkin Punya Uang Rp 75 Juta,Anak mantan menteri yg munafik
2017-09-14 09:34:00,beyoungcarerock,Indra Piliang Ditangkap di Tempat Karaoke Taman Sari Terkait Narkoba,Pujaan nasbung nih
2017-09-13 17:31:00,DomCobbTotem,"Soal Foto Asma Dewi-Prabowo, Fadli: Jokowi Saja dengan Dimas Kanjeng",jleb juga jawaban si zonk :o Mbahmu jleb
2017-09-13 14:49:00,kafir.as.leader,Kasihan Baru Saja Wisuda. Ini Fakta Dodik Ikhwanto yang Ngefans Dian Sastro,"Lu bisa bedain mana yg mengkritik, mana yg menyindir dan mana yg menghina secara berlebihan ga sih? Barbuk.. https://s.kaskus.id/images/2017/09/13/347794_201709130230370482.jpg Lu nganggepnya ini mengkritik dan menyindir? Kalo iya.. kita kopdar.. ntar kita sama2 ke rumah ortu lu.. nyokap lu g"
2017-09-13 14:37:00,kelazcorro,"Kasus Penghinaan Iriana Jokowi, Pelaku Mengaku Tidak Suka Pemerintah",jadi dikekang gini yah. kebebasan pers sudah dibatasi Ngatain orang pramuria itu kebebasan pers ya? bodoh lo
2017-09-13 14:29:00,kelazcorro,"Kasus Penghinaan Iriana Jokowi, Pelaku Mengaku Tidak Suka Pemerintah","seremm, pemerintah skrg sensitip bgt, selidiki dan langsung cidukk aj. Kalo gak bodoh juga gak bakalan diciduk bodoh lo"
2017-09-12 21:27:00,dr.solusi,Polisi Amankan Atribut HTI di Rumah Penghina Iriana Jokowi,Satu dua orang yang menghina pemerintah ditangkap sih ga masalah Yang jadi masalah kalau jumlah penghina pemerintah ini sudah masuk jumlah yang banyak ((massal)) Daripada nangkepin banyak orang apa ga lebih bijak pemerintahnya aja yang tau diri dan mundur dengan terhormat Ngefans andi arief?
2017-09-05 18:41:00,loveluv,Politikus Gerindra Tersangka Pembakar 7 SD Terancam Dipecat,Tujuan nya apa bakar sekolah?
2017-09-05 18:38:00,beyoungcarerock,"Copot Razman, Jonru Ginting Tunjuk LBH Bang Japar Jadi Pengacara",Bang japar punyanya fahira idris bangke emang tuh kambing betina
2017-09-05 11:34:00,DomCobbTotem,"Kapolri: Catat yang Besar, Kasus Saracen akan Dikembangkan!",MCA dibantai juga pak
2017-08-30 09:29:00,siput.berlari,Cara Santai Gibran Rakabuming Hadapi Hoaks,mau saingan sama eike ya? :mad https://s.kaskus.id/images/2017/08/30/7941333_201708300925440622.jpg Duduk gitu gak kecepit tuh konti nya?
2017-08-29 18:07:00,iosh.44,"Gagal Pergi Umrah, 164 Korban Azizi Travel Datangi Mapolres Aceh Barat",HOAX Di aceh gak ada penipu Secara provinsi barokah gitu lho
2017-08-22 17:02:00,rifkyfo,Mahfud MD pun Pernah Jadi Korban First Travel,"aduh :cd “Dan barangsiapa yang menutupi (aib) seorang muslim sewaktu di dunia, maka Allah akan menutup (aibnya) di dunia dan akhirat” (Hadits Riwayat Imam at-Tirmidzi). Kita hidup di dunia ini terkadang merasa lebih mulia daripada orang lain. Hanya gara-gara satu kesalahan yang diperbuat oran..."
2017-08-22 16:57:00,natasyalim,First Travel kantongi Rp 848.700.100.000 duit jemaah yang belum diberangkatkan,lu ingat bray ! dalam semua kasus apapun ..... harus ada yg bertanggung jawab dong :gila: Kasus apapun?
2017-08-22 16:44:00,natasyalim,First Travel kantongi Rp 848.700.100.000 duit jemaah yang belum diberangkatkan,pemerintah gak mau bertanggung jawab untuk ganti rugi ...... lalu siapa yg bertanggung jawab dong ? masa minta sama tuhan yg harus bayar ganti rugi umat itu ? :bingungs :takut:cd Oh jadi yg salah pemerintah ya?
2017-08-18 06:48:00,kelazcorro,"First Travel Dikelola Mirip Kerajaan, Tilap Uang Jemaah Rp 715 Miliar",Mau 550m kek mau 715m kek Pokoknya negara harus hadir mengganti semua kerugian umat Trus pelakunya gak perlu ganti rugi?
2017-08-09 16:33:00,jongos.widodo,"Alasan Najwa Shihab Keluar dari Metro TV, Betulkah Karena SARA?",Katanya gara2 doi mau nikah ? :bingung Jawaban paling bodoh di thread ini
2017-08-08 14:54:00,xutux06,The Yudhoyono Institute Bukan Alat Politik AHY,Institute kebo
2017-08-04 22:51:00,Gursel,BERBAGI CINTA UNTUK SODARA (KASKUS REGIONAL SOLO PEDULI),Siap gan
2017-07-26 16:09:00,namima,Puan Maharani Dinilai Cocok Jadi Cawapres,Mbahmu cawapres
2017-07-26 16:05:00,berita.indo,AKSI POLITIS DI BALIK AKSI 287,bodoh cok
2017-07-26 15:20:00,tribunnews.com,Gadis Ini Blak-blakan Ceritakan Pengalaman Pahitnya Jadi Budak Seks Tentara ISIS,Panasbung isis
2017-07-24 18:50:00,dara999,"Kasus Proyek Jalan, Politikus PKS Yudi Widiana Ditahan KPK",Korupsi boleh asalkan seiman
2017-06-30 14:22:00,presiden.trump,Ketum FPI sebut Habib Rizieq sehat dan tenang berada di Yaman,"Visa ""Unlimited"" nya udah Abis... Jangan bukak Aib Visa orang napa... :marah :batabig https://s.kaskus.id/images/2016/04/14/3048228_20160414091656.gifhttps://s.kaskus.id/images/2016/04/14/3048228_20160414091656.gif Visa unlimited tapi bisa habis? Serasa makan all you can eat tapi dib"
2017-06-26 08:39:00,presiden.trump,"Dari Yaman, Habib Rizieq Ucapkan Selamat Idul Fitri 1438 H","Ga salah ane mengidolakan habib yg satu ini,lihat tuh negara2 timteng begitu menghormati dan menerima kehadiran beliau, Ya udah lo nyusul aja sono"
2017-06-25 05:17:00,aghilfath,"Lewat Facebook, Prabowo Ucapkan Selamat Idul Fitri 1438 H",Selamat berkumpul dgn anak cucu pak prabowo
2017-06-23 19:55:00,mr.irvano,"SAH, INFO A1 : Polri Pastikan Hary Tanoe Tersangka !",Pengacaranya si hotman. Lolos kayaknya. Toh kasusnya juga geje :D Gundulmu geje
2017-06-23 15:20:00,fulbright,"Luhut: Nanti Pemerintah Yang Disalahin, Padahal Elu Yang Ngebut",Biasanya panasbung miskiner yg mudik pake motor
2017-06-23 15:18:00,petrux99,"Kader PD Pasang Foto Agus Yudhoyono di Bus-bus Pemudik, untuk Apa?",La emangnya kenapa..terserah yg masang lah...wong ya uang uang mrk sendiri... Apa cuma ahok doang yg potonya boleh dipasang?? bodoh lo
2017-06-23 15:14:00,gembaladomba13,Suara Pembaca / Laporan Forum BP Raya,"Mod, kalo bisa thread (isi nama) masuk islam di sticky semua aja biar kaskus makin blangsak"
2017-06-23 15:11:00,heavenisnomore,"Panglima TNI Salat Berjamaah Bermandikan Hujan, Ulama Menangis Haru",Masuk angin ntar
2017-06-23 10:01:00,thudd,"Jackie Chan Masuk Islam , Ganti Nama Menjadi ""Zakaria Chan""",apanya yg nipu :gila: Penipu bodoh
2017-06-21 14:24:00,gastor,"Sopir Taksi ""Online"": Saya Sudah Teriak-teriak, Pak Jangan Masuk",cuma ada di rejim mr jokes Ini ada manusia tolol ikut ngaskus
2017-06-21 11:23:00,frances19,Jokowi Ulang Tahun Jadi Trending Topic No.1 Di Indonesia.,#kamibersamaHRS dong trending world wide
2017-06-19 15:43:00,aaabbbccczzz201,Kapolda Metro: Saya Angkat Topi kalau Rizieq Penuhi Panggilan Polisi,Jangan byk berharap Bibib pilih sembunyi
2017-06-19 15:37:00,soldkeaku,"Pertemukan Puan dan SBY, CT Ajak Semua Pihak untuk Bersatu",rejim ini penuh dengan kebencian Kaum lo itu yg penuh kebencian
2017-06-19 15:35:00,acabindonesia,Panglima TNI: Jangan ikuti ulama bersorban tapi pecah belah NKRI,Penistaan ulama nih si gatot
2017-06-19 15:32:00,kimpet.sekeco,Ridwan Kamil: Hasil Survei Sebut 7 Juta Penduduk Jabar Tolak Pancasila,"Ingat jabar, ingat nasbung bodoh"
2017-06-19 15:30:00,doeltetappaten,"Eks Staf Panglima: Kemarin Musuh Bersama Kita Ahok, Sekarang Jokowi",Sumber bodoh
2017-06-19 15:23:00,blizzard000,PAN Desak KPK Minta Maaf ke Amien Rais,Bodo amat lah
2017-06-19 15:08:00,jebta123,General Manager PT WOM FINANCE menganiaya karyawannya,Kantor riba urusannya neraka Lo sendiri aja yg ke neraka
